"","control","university","r_status","state","female","first_gen","poverty_rate","veteran","unemp_rate","white","black","hispanic","asian","indigenous","nhpi","nra","unknown","year"
"384",2,"University of Tulsa","R2","OK",0.563570298783846,0.294068559226923,8.77007873025984,0.00496156547632653,3.53582677688976,0.5576,0.0588,0.0755,0.0545,0.0262,3e-04,0.1553,0.0188,"2018"
"385",2,"Villanova University","R2","PA",0.563570298783846,0.294068559226923,8.77007873025984,0.00496156547632653,3.53582677688976,0.7495,0.0488,0.0768,0.0569,6e-04,1e-04,0.0235,0.0172,"2018"
"386",1,"Texas A & M University-Corpus Christi","R2","TX",0.563570298783846,0.294068559226923,8.77007873025984,0.00496156547632653,3.53582677688976,0.3551,0.0522,0.5149,0.0257,0.0019,2e-04,0.0207,0.0102,"2018"
"387",1,"University of Houston","R1","TX",0.539136254314249,0.257929520377949,7.62465649889313,0.00372473251787072,3.29290076428244,0.2271,0.0986,0.3577,0.223,0.001,0.0012,0.0395,0.0184,"2018"
"388",2,"Rice University","R1","TX",0.539136254314249,0.257929520377949,7.62465649889313,0.00372473251787072,3.29290076428244,0.3324,0.0714,0.1552,0.2569,0.0015,0.0015,0.1179,0.0182,"2018"
"389",1,"The University of Texas at Dallas","R1","TX",0.539136254314249,0.257929520377949,7.62465649889313,0.00372473251787072,3.29290076428244,0.3228,0.0543,0.1841,0.328,0.0015,0.002,0.0427,0.0232,"2018"
"390",1,"The University of Texas at San Antonio","R2","TX",0.563570298783846,0.294068559226923,8.77007873025984,0.00496156547632653,3.53582677688976,0.2244,0.0889,0.5671,0.0587,0.0019,0.0016,0.0169,0.0055,"2018"
"391",1,"University of Vermont","R2","VT",0.563570298783846,0.294068559226923,8.77007873025984,0.00496156547632653,3.53582677688976,0.8177,0.0122,0.0377,0.0274,5e-04,1e-04,0.0487,0.0242,"2018"
"392",1,"University of Southern Mississippi","R1","MS",0.539136254314249,0.257929520377949,7.62465649889313,0.00372473251787072,3.29290076428244,0.6096,0.2881,0.03,0.0129,0.0046,0.0014,0.0182,2e-04,"2018"
"393",1,"University of Missouri-Kansas City","R2","MO",0.563570298783846,0.294068559226923,8.77007873025984,0.00496156547632653,3.53582677688976,0.5706,0.12,0.0958,0.0849,0.0021,0.0016,0.0525,0.0286,"2018"
"394",1,"Rowan University","R2","NJ",0.563570298783846,0.294068559226923,8.77007873025984,0.00496156547632653,3.53582677688976,0.6616,0.0998,0.1079,0.05,0.0014,0.0011,0.0084,0.0358,"2018"
"395",2,"Cornell University","R1","NY",0.539136254314249,0.257929520377949,7.62465649889313,0.00372473251787072,3.29290076428244,0.3652,0.0687,0.1353,0.1938,0.0037,9e-04,0.1052,0.0801,"2018"
"396",2,"Yeshiva University","R2","NY",0.563570298783846,0.294068559226923,8.77007873025984,0.00496156547632653,3.53582677688976,0.9348,0,0.003,0,0,0,0.0567,0.0052,"2018"
"397",1,"University at Buffalo","R1","NY",0.539136254314249,0.257929520377949,7.62465649889313,0.00372473251787072,3.29290076428244,0.4736,0.0795,0.0741,0.1496,0.0031,6e-04,0.1501,0.0463,"2018"
"398",1,"University of North Carolina Wilmington","R2","NC",0.563570298783846,0.294068559226923,8.77007873025984,0.00496156547632653,3.53582677688976,0.7842,0.0416,0.0723,0.019,0.004,0.0014,0.0116,0.0287,"2018"
"399",1,"University of North Carolina at Greensboro","R2","NC",0.563570298783846,0.294068559226923,8.77007873025984,0.00496156547632653,3.53582677688976,0.4682,0.2986,0.1051,0.0526,0.004,6e-04,0.0158,0.0034,"2018"
"400",1,"Miami University-Oxford","R2","OH",0.563570298783846,0.294068559226923,8.77007873025984,0.00496156547632653,3.53582677688976,0.7139,0.0348,0.0481,0.0222,0.0016,6e-04,0.1376,0.0038,"2018"
"401",1,"Cleveland State University","R2","OH",0.563570298783846,0.294068559226923,8.77007873025984,0.00496156547632653,3.53582677688976,0.6301,0.1513,0.0665,0.0339,0.0017,0.001,0.0618,0.0152,"2018"
"402",1,"University of Toledo","R2","OH",0.563570298783846,0.294068559226923,8.77007873025984,0.00496156547632653,3.53582677688976,0.6864,0.1079,0.052,0.0218,0.0018,7e-04,0.0596,0.0342,"2018"
"403",1,"Ohio University-Main Campus","R2","OH",0.563570298783846,0.294068559226923,8.77007873025984,0.00496156547632653,3.53582677688976,0.8272,0.0564,0.0327,0.013,0.0018,7e-04,0.0158,0.0169,"2018"
"404",1,"Wright State University-Main Campus","R2","OH",0.563570298783846,0.294068559226923,8.77007873025984,0.00496156547632653,3.53582677688976,0.7452,0.1087,0.0377,0.0271,0.0018,0.001,0.0269,0.0072,"2018"
"405",1,"University of Oregon","R1","OR",0.539136254314249,0.257929520377949,7.62465649889313,0.00372473251787072,3.29290076428244,0.5824,0.0228,0.128,0.0601,0.0057,0.0044,0.0991,0.0154,"2018"
"406",1,"Portland State University","R2","OR",0.563570298783846,0.294068559226923,8.77007873025984,0.00496156547632653,3.53582677688976,0.5355,0.0369,0.16,0.0926,0.0121,0.0065,0.0492,0.0383,"2018"
"407",2,"Drexel University","R1","PA",0.539136254314249,0.257929520377949,7.62465649889313,0.00372473251787072,3.29290076428244,0.5175,0.0689,0.0658,0.1781,8e-04,0.0024,0.1079,0.0219,"2018"
"408",1,"Pennsylvania State University-Main Campus","R1","PA",0.539136254314249,0.257929520377949,7.62465649889313,0.00372473251787072,3.29290076428244,0.6567,0.0429,0.0668,0.061,8e-04,0.001,0.1202,0.0171,"2018"
"409",1,"Tennessee Technological University","R2","TN",0.563570298783846,0.294068559226923,8.77007873025984,0.00496156547632653,3.53582677688976,0.8417,0.0382,0.0327,0.0158,0.0017,5e-04,0.0287,0.0048,"2018"
"410",1,"University of Wyoming","R2","WY",0.563570298783846,0.294068559226923,8.77007873025984,0.00496156547632653,3.53582677688976,0.7181,0.0104,0.07,0.0107,0.0056,0.0013,0.036,0.1052,"2018"
"411",1,"University of Wisconsin-Madison","R1","WI",0.539136254314249,0.257929520377949,7.62465649889313,0.00372473251787072,3.29290076428244,0.7096,0.0197,0.0528,0.0642,0.002,9e-04,0.1015,0.0151,"2018"
"412",1,"University of Puerto Rico-Rio Piedras","R2","PR",0.563570298783846,0.294068559226923,8.77007873025984,0.00496156547632653,3.53582677688976,0.0055,0.0267,0.8367,6e-04,0.0045,0,0,0.1228,"2018"
"413",3,"Ponce Health Sciences University","R2","PR",0.563570298783846,0.294068559226923,8.77007873025984,0.00496156547632653,3.53582677688976,0,0,1,0,0,0,0,0,"2018"
"414",2,"Stanford University","R1","CA",0.539136254314249,0.257929520377949,7.62465649889313,0.00372473251787072,3.29290076428244,0.341,0.0649,0.1571,0.2191,0.0079,0.0031,0.1043,0.0078,"2018"
"415",1,"William & Mary","R2","VA",0.563570298783846,0.294068559226923,8.77007873025984,0.00496156547632653,3.53582677688976,0.591,0.0715,0.0942,0.0756,0.0016,6e-04,0.06,0.0553,"2018"
"416",1,"University of Utah","R1","UT",0.539136254314249,0.257929520377949,7.62465649889313,0.00372473251787072,3.29290076428244,0.6807,0.0134,0.129,0.058,0.0039,0.0047,0.0448,0.0089,"2018"
"417",1,"Virginia Polytechnic Institute and State University","R1","VA",0.539136254314249,0.257929520377949,7.62465649889313,0.00372473251787072,3.29290076428244,0.6527,0.0423,0.0646,0.0987,0.0012,0.0011,0.0658,0.0254,"2018"
"418",1,"University of Rhode Island","R2","RI",0.563570298783846,0.294068559226923,8.77007873025984,0.00496156547632653,3.53582677688976,0.7296,0.0524,0.1001,0.0318,0.0019,7e-04,0.0142,0.0418,"2018"
"419",1,"University of South Dakota","R2","SD",0.563570298783846,0.294068559226923,8.77007873025984,0.00496156547632653,3.53582677688976,0.8264,0.0344,0.0448,0.0143,0.0154,0.0013,0.0207,0.004,"2018"
"420",1,"University of Oklahoma-Norman Campus","R1","OK",0.539136254314249,0.257929520377949,7.62465649889313,0.00372473251787072,3.29290076428244,0.6054,0.047,0.1009,0.0651,0.0374,8e-04,0.0382,0.0167,"2018"
"421",2,"Carnegie Mellon University","R1","PA",0.539136254314249,0.257929520377949,7.62465649889313,0.00372473251787072,3.29290076428244,0.2702,0.041,0.0924,0.3159,3e-04,2e-04,0.1802,0.0591,"2018"
"422",2,"Duquesne University","R2","PA",0.563570298783846,0.294068559226923,8.77007873025984,0.00496156547632653,3.53582677688976,0.8051,0.0524,0.0366,0.0335,7e-04,0.0012,0.0293,0.0097,"2018"
"423",2,"Lehigh University","R2","PA",0.563570298783846,0.294068559226923,8.77007873025984,0.00496156547632653,3.53582677688976,0.6266,0.0346,0.0956,0.0807,0.001,8e-04,0.0913,0.037,"2018"
"424",1,"The University of Tennessee-Knoxville","R1","TN",0.539136254314249,0.257929520377949,7.62465649889313,0.00372473251787072,3.29290076428244,0.7827,0.0616,0.0439,0.0386,0.0019,0.0012,0.0139,0.0224,"2018"
"425",1,"Rutgers University-Newark","R2","NJ",0.563570298783846,0.294068559226923,8.77007873025984,0.00496156547632653,3.53582677688976,0.2186,0.1968,0.2889,0.1784,5e-04,0.0027,0.0624,0.0255,"2018"
"426",1,"New Mexico State University-Main Campus","R2","NM",0.563570298783846,0.294068559226923,8.77007873025984,0.00496156547632653,3.53582677688976,0.2601,0.0249,0.6122,0.0115,0.0238,0.0012,0.037,0.0103,"2018"
"427",2,"Columbia University in the City of New York","R1","NY",0.539136254314249,0.257929520377949,7.62465649889313,0.00372473251787072,3.29290076428244,0.3612,0.0699,0.1347,0.1739,0.0052,0.001,0.1736,0.0223,"2018"
"428",2,"Rochester Institute of Technology","R2","NY",0.563570298783846,0.294068559226923,8.77007873025984,0.00496156547632653,3.53582677688976,0.6557,0.0449,0.0767,0.0974,0.0012,2e-04,0.0666,0.0169,"2018"
